gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avrage_assessment,number_of_assessments_taken,date_registration,date_unregistration,total_click_count,total_click_sum,total_click_average,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,code_module_y_BBB,code_module_y_CCC,code_module_y_DDD,code_module_y_EEE,code_module_y_FFF,code_module_y_GGG
1,1.681794071362671,1.6472262261536585,,-0.340223760917696,3.9014827282018563,0,0.7475752859140278,0.6323688717868161,-0.6292008021299894,-1.8182847367514308,3.0708446177076863e-16,-0.5449537757776864,-0.3507008093031728,1.2953357493878415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.681794071362671,-1.4154472302173828,1.5595630705885342,-0.340223760917696,-0.481075635427032,0,0.7475752859140278,-0.474203533901815,-0.6292008021299894,0.3330460885769878,3.0708446177076863e-16,-0.016547908725206898,-0.09489917263567847,0.03601839305896159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.34774568449700055,-0.9779224507358055,1.5595630705885342,-0.340223760917696,-0.481075635427032,1,-1.254538213987033,0.0,0.0,-0.4584812905532794,-0.7935850828040254,-0.8159311434969068,-0.684110926556414,0.3536121464109911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.34774568449700055,-0.1028728917726508,1.5595630705885342,-0.340223760917696,-0.481075635427032,0,0.7475752859140278,0.20676410036811171,-0.6292008021299894,0.3533416624008408,3.0708446177076863e-16,0.5095998135962791,0.2742516922557356,-0.03656146447986508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-0.9863027023686698,-0.1028728917726508,-0.6411854273388095,-0.340223760917696,-0.481075635427032,0,0.7475752859140278,-1.3254130767392245,-0.6292008021299894,-2.163309491756932,3.0708446177076863e-16,-0.1926831977427001,-0.2996425983914973,-0.31645130984340764,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.34774568449700055,1.2097014466720812,1.5595630705885342,-0.340223760917696,-0.481075635427032,0,0.7475752859140278,-0.36070892819016087,-0.6292008021299894,-0.8238016193826335,3.0708446177076863e-16,0.6450884974558894,0.4207887575722443,0.07528865011261845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.681794071362671,-0.9779224507358055,-0.6411854273388095,-0.340223760917696,-0.481075635427032,0,0.7475752859140278,-0.36070892819016087,-0.6292008021299894,0.04890805504304574,3.0708446177076863e-16,-0.18590876354971958,-0.06579599241602342,0.7993242543527617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.34774568449700055,1.6472262261536585,-0.6411854273388095,-0.340223760917696,0.979777152449264,0,0.7475752859140278,-0.04859876248311056,-0.6292008021299894,0.82013986034946,3.0708446177076863e-16,0.21152470910513685,-0.09847324739949576,-0.535348210696735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.34774568449700055,0.7721766671905039,-0.6411854273388095,-0.340223760917696,0.24935075851111602,0,0.7475752859140278,-0.11953289105289464,-0.6292008021299894,0.7389575650540479,3.0708446177076863e-16,0.351529682426734,0.13945801544891218,-0.09032818951262155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.015842458228341,,,-0.340223760917696,-0.481075635427032,0,0.7475752859140278,0.34863235750767985,-0.6292008021299894,-2.224196213228491,3.0708446177076863e-16,1.0538126937657133,0.7848338013724908,0.17371693507777902,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
